stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
10,1,1.0,18.35113949998049,18.85222599998815,18.85222599998815,18.85222599998815,19.15117719999398,left,-1.0,1,1,0.40247359999921173,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
11,0.5,1.0,19.285080499976175,19.768163100001402,19.768163100001402,19.785071999998763,20.068260200001532,right,1.0,0,0,0.3862197999842465,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
12,0.5,1.5,20.184417899989057,20.668736299994634,20.668736299994634,20.684495399997104,20.985286599985557,right,1.5,0,0,0.3325553000031505,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
13,0.5,2.0,21.01811340000131,21.517926999978954,21.517926999978954,21.517926999978954,21.81803019999643,left,-2.0,1,1,0.40511659998446703,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
14,0.5,2.0,21.95115939999232,22.45126089997939,22.45126089997939,22.45126089997939,22.751101000001654,right,2.0,1,1,0.4983631999930367,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
15,0.5,2.0,22.96764659998007,23.451300099986838,23.451300099986838,23.468256699998165,23.752145699982066,left,-2.0,1,1,0.34669509998639114,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
16,0.5,1.5,23.817809100000886,24.3172602999839,24.3172602999839,24.3172602999839,24.61733749997802,right,1.5,1,1,0.5665974000003189,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
17,0.5,1.5,24.90096659999108,25.40183839999372,25.40183839999372,25.40183839999372,25.7013195999898,left,-1.5,1,1,0.3259719000197947,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
18,0.5,1.5,25.750395599985495,26.251395200000843,26.251395200000843,26.251395200000843,26.550431399984518,left,-1.5,0,0,0.3893814000184648,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
19,0.5,2.0,26.66744170000311,27.15114669999457,27.15114669999457,27.168286599975545,27.451152099994943,right,2.0,1,1,0.46830279999994673,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
20,0.5,2.0,27.651201399974525,28.150442499987548,28.150442499987548,28.150442499987548,28.450534499977948,left,-2.0,1,1,1.1001034999790136,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
21,0.5,2.0,29.266483999992488,29.766743899992434,29.766743899992434,29.766743899992434,30.06658729998162,right,2.0,1,1,0.44998939998913556,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
22,0.5,1.5,30.233128599997144,30.73294529999839,30.73294529999839,30.73294529999839,31.03364369997871,right,1.5,1,1,0.6227974999928847,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
